Work_Location,Age,Experience_Years,Work_Hours_Per_Week,Salary,Sleep_Hours,Social_Interactions,Productivity,Isolation_Score,WellBeing_Score,Stress_Level
Office,34,12.9,43.7,9260,9,6.4,83.3,1.93,4.7,Medium
Office,36,11.9,43.8,9672,6.7,3.9,88.1,3.31,3.05,High
Remote,48,21.2,38.4,13152,6.8,6.6,79.2,4.7,4.19,High
Office,43,15,48.7,9945,7.4,4.4,73.2,2.66,3.95,High
Office,42,18.5,50.5,11062,8,8,88.1,3.45,4.14,High
Office,50,19.7,51.7,11337,8.6,5.9,69.5,3.68,4.73,Medium
Remote,38,13.1,42.4,10529,7.6,4.6,70.8,5.6,3.1,High
Remote,23,1.9,49.4,7395,7.8,2.5,62.6,5.56,3.43,High
Remote,21,0,45.6,5924,6,7.7,77.1,4.85,3.63,High
Office,37,12.2,50.3,9395,5.1,6.1,77,3.12,2.15,High
Remote,32,8.6,48,10148,5.6,5,58,5.24,3.47,High
Office,36,10.6,46.8,8794,6.5,3.3,69.3,3.35,2.14,High
Remote,25,2.4,44.7,7850,7,7.2,70.5,7.42,3.57,High
Remote,26,3,36.5,8011,8.3,6.9,66.1,6.92,4.45,High
Remote,22,0.9,39,6974,6.3,1.1,66,5.71,2.25,High
Office,21,0,46.8,5382,6.2,5.9,67.1,3.31,3.25,High
Office,21,0,41.2,5496,6.6,4.2,72.8,3.25,2.45,High
Remote,36,13.9,42,11004,4,3.4,46,7.11,1.66,High
Remote,33,7.8,43.3,9278,7.5,6.6,81.9,6.47,4.44,High
Office,36,12.4,43.5,8910,6.6,7.3,84.8,3.77,4.92,Medium
Remote,34,11.3,30,10546,8,4.4,90.6,4.97,3.13,High
Hybrid,37,13.5,36.8,9988,4.9,2.9,68.2,2.97,2.84,High
Remote,38,12.4,38.9,10302,5.7,2.3,63.8,6.71,3.11,High
Remote,37,15.6,41.7,11752,6.6,3.6,67.1,7.54,2.78,High
Remote,35,8.5,48.7,9960,6.2,4.8,78.5,6.53,2.16,High
Office,30,7,44.5,8152,7.6,1.1,59.9,1.33,2.52,High
Remote,34,12.7,37.9,11272,6.7,3.9,68.2,9.2,1.62,High
Office,29,6.8,47.7,7618,5.4,2.5,68.3,2.16,2.9,High
Hybrid,34,9.3,48.4,9089,4.1,5.7,65.7,3.3,1.59,High
Remote,32,8.6,35.2,9247,7.4,3.6,89.5,7.63,1.74,High
Hybrid,29,5.5,44.6,7558,7,0.9,64.8,3.64,2.3,High
Remote,34,10,48.8,10593,5.3,2.2,63.6,7.25,1.51,High
Office,41,18.7,48.1,10780,6,5.4,85.4,2.23,3.63,High
Remote,27,5.6,46,7684,7.5,4.1,64.9,6.96,3.14,High
Hybrid,34,12.6,42.9,9825,6.2,6.2,72.9,4.34,3.57,High
Hybrid,36,10,44.2,9173,5.3,6.8,76,3.67,3.7,High
Office,23,1.8,52.3,6566,8.1,9.7,89,2.81,4.87,Medium
Office,43,17.7,45.2,11473,5.3,3.8,66.7,1.94,2.02,High
Remote,37,12.7,35.3,10621,6.2,2.9,82.2,5.63,1.74,High
Remote,47,16.6,39.5,13545,5.9,3.5,84.5,6.35,4.06,High
Remote,37,9.7,38.7,10304,6.7,4.1,66.5,6.97,2.94,High
Remote,32,9.4,35.5,10167,6.5,5.3,75.7,8.14,2.73,High
Remote,31,8.9,44.2,10314,6.5,5.7,79.7,6.81,2.75,High
Office,41,16.3,34.5,10331,7.2,3.9,76.4,2.59,4.33,High
Remote,39,16.3,41.2,12541,7.8,4.5,62.3,6.38,3.36,High
Office,33,8.8,49.2,8518,7.5,4.1,73.6,2.1,3.65,High
Remote,38,14.9,34.5,10515,7.1,3.2,83.8,3.98,3.28,High
Office,29,5.3,47.1,7336,6.4,7.5,68.2,1.72,3.77,High
Remote,41,12.7,43.4,11019,6.1,5.1,86.2,6.33,3.33,High
Remote,29,6,49.2,7956,7.5,2.1,62.8,8.47,1.53,High
Remote,43,14.3,34.1,10789,7.1,4.7,59.9,8.94,2.83,High
Remote,26,4.4,48.7,8628,7,7.4,75.5,6.74,4.43,High
Hybrid,58,33,39.7,16253,5.8,8.8,67.3,3.86,2.92,High
Remote,43,13.2,44.9,11970,4.4,2.8,70.6,6.44,2.14,High
Remote,43,15.3,40,12362,4.8,4.6,75.7,6.42,2.07,High
Remote,39,13.4,32.4,11465,6,6.3,63.4,5.78,3.07,High
Remote,25,3,36.9,7460,6.7,4.5,71.7,7.02,3.52,High
Office,36,9.1,58.7,9040,5.1,5.2,48.4,1.89,3.16,High
Office,26,4.2,59.3,7086,4.4,7.2,56.6,4,2.41,High
Hybrid,29,7.1,38.3,8804,6.2,4.4,71.6,1.71,2.67,High
Office,24,2,49.5,6390,5.6,6.8,69.6,2.46,3.75,High
Remote,33,11.6,34.8,10689,5,10,62,7.19,3.83,High
Remote,46,17.2,39.3,12318,7.5,4.4,78.2,6.7,3.81,High
Remote,45,22,36.5,13380,6.2,4.3,72.3,7.59,1.79,High
Remote,39,17.1,44.1,12120,5.9,5.8,87.5,7.57,2.87,High
Office,42,16.9,37.2,10409,7,3.6,75,1.84,2.99,High
Remote,39,11.7,52.2,10706,6.3,3.4,65.3,7.55,3.25,High
Remote,27,3.9,41.4,8287,8.4,4.1,65.2,5.32,3.19,High
Hybrid,26,3.4,44.3,7725,6.9,1.2,73.3,4.42,2.62,High
Remote,38,15.5,43.1,10727,8.3,6.2,81.3,8.14,4.96,Medium
Office,35,9.1,53.2,9008,7.2,2.6,60.2,2.66,3.31,High
Remote,39,12.3,43.8,10356,7.4,3.6,95.9,7.29,3.06,High
Hybrid,43,15.9,41.2,11023,6.5,7.3,87.8,4.88,3.85,High
Office,38,15.3,35.6,10917,6.5,7.3,74.7,1.19,5.92,Medium
Remote,35,13.3,41.2,10510,6.5,4.7,72.8,6.78,3.34,High
Remote,35,9.7,41.8,10167,6.3,7.2,79.6,9.88,2.45,High
Hybrid,23,1.7,45.2,7425,4.5,5.4,68.3,4.1,3.15,High
Remote,30,7.5,39.7,8798,5.7,4.5,63.4,6.36,3.57,High
Remote,36,12.3,50,10679,8.5,5.7,75.8,7.4,2.26,High
Remote,37,10.3,35.9,11168,7.4,3.3,86.1,8.88,2.57,High
Office,30,8.7,51.5,9290,5.8,7.1,66.6,3.2,3.46,High
Hybrid,31,6.1,39.8,8727,7.9,3,72.7,4.08,2.79,High
Office,37,12,45.3,8988,6.2,2.1,60.6,2.93,2.17,High
Office,47,19.2,41.7,11375,5.3,4.9,75.7,2.77,3.57,High
Remote,41,14.5,39.3,11557,5.4,4.7,75,6.75,2.02,High
Office,39,18,36.5,10833,8.8,4.7,57.1,3.79,5.32,Medium
Office,27,4.9,37.6,7427,7,3.9,68.8,2.56,3.15,High
Hybrid,27,4,51.2,8015,5.9,6.1,73.3,3.44,3.76,High
Remote,27,5.5,47,8718,5.9,6.3,72.8,9.49,1.97,High
Office,21,0,45.7,5000,7.1,5.1,66.2,2.67,3.32,High
Remote,46,24.6,43.1,14737,5.6,4,82.2,8.08,2.72,High
Remote,28,5.9,39.5,8589,6.7,4.1,87.8,7.8,4.18,High
Hybrid,21,0,44.2,6768,6.7,0.4,70.8,3.58,4.1,High
Remote,22,0.8,46.5,7824,4.7,10,81,4.39,3.3,High
Office,34,10.8,52.1,7822,5.5,6.2,60.7,3.55,3.26,High
Remote,35,9.4,46,9494,8.1,2.9,68.2,5.7,2.31,High
Remote,40,14.8,42.9,11919,7,7.5,68.5,9.32,2.07,High
Remote,34,9.5,41.6,9631,5.5,6.3,66.6,6.89,2.47,High
Remote,30,8.7,43.6,8800,5.2,3.4,74.3,7.53,2.71,High
Remote,27,4.5,45.1,8428,7.7,5.7,62.8,4.76,3.46,High
Remote,44,18.8,39,12268,8.1,5.3,83.5,6.18,4.93,Medium
Office,39,16.2,47.5,11420,7.4,4.2,77.7,4.05,3.69,High
Office,21,0,45.9,5862,5.7,6.5,62,1.6,3.2,High
Remote,34,9.9,37.7,10128,6,2.7,74.7,8.27,2.24,High
Remote,33,8.3,40.6,10428,6.4,4.2,75.2,5.06,3.16,High
Hybrid,25,2.9,43.8,7847,6.5,6.4,81.4,3.22,3.87,High
Remote,38,11.9,40.1,10559,4.4,6.3,55.7,4.79,4.01,High
Remote,37,10.1,45,9388,6.6,7.1,83.1,6.49,2.84,High
Office,34,8.6,54.9,8638,6.1,4.8,59.5,3.27,2.58,High
Hybrid,35,12.2,43.6,9263,5.8,4.5,81.2,3.75,2.55,High
Remote,26,3.6,47.4,8043,6.6,5,71.4,6.67,3.13,High
Remote,36,10.5,38.8,10397,5.7,4.8,55.8,8.89,3.33,High
Office,30,8.2,44.5,7668,6.1,5.9,57.8,1.44,4.43,High
Remote,44,16.3,46.3,11928,5.5,3.8,57.5,7.58,2.51,High
Remote,40,13.2,38,10224,6.2,5.3,93.9,6.4,3.37,High
Remote,41,13.1,40.4,11329,6.9,6.4,67.5,6.8,2,High
Office,40,13.3,50.2,9941,8,2.4,92.3,2.99,4.22,High
Hybrid,24,2.6,45,7963,5.3,6.6,59.6,3.73,3.03,High
Hybrid,37,15,45.5,10694,6.6,2,76.8,5.54,1.93,High
Remote,35,9.3,41.7,9483,6,3.1,75.9,6.74,3.62,High
Remote,27,5,38.3,9032,7.1,5.3,70.7,3.84,2.69,High
Hybrid,29,5.5,42.3,8898,8.1,5.1,94.1,5.46,2.79,High
Office,37,12.6,48.2,10173,7.5,5.5,72.3,2.1,5.23,Medium
Hybrid,33,10.9,40.2,9044,6.2,3.1,76,4.73,3.08,High
Office,37,12,46.1,8962,7.2,5.9,70.8,2.7,4.93,Medium
Office,26,4.4,44.7,7618,5.2,3.7,87.1,3.77,2.35,High
Remote,27,4.8,54.5,7706,7.7,5.1,71.4,7.57,3.23,High
Office,36,10.1,41.7,9462,9,3.6,74.1,2.24,2.77,High
Hybrid,39,11.9,50.3,10223,5.9,6.1,57.9,3.13,4.03,High
Hybrid,36,12.2,55.3,9874,5.4,3.5,73.1,6.31,1.56,High
Hybrid,42,14.2,41.7,11351,7.4,3.7,64.2,4.83,3.39,High
Office,38,11.8,52.4,10036,6.1,7.6,66.1,2.86,4.01,High
Office,44,19.7,48.9,11397,5.8,5.7,42.3,2.26,3.1,High
Remote,30,6.9,40.4,8331,6.8,5.6,72.4,9.12,1.45,High
Office,38,16.2,44.3,10228,8.1,4.2,73.4,2.48,3.96,High
Remote,30,5.8,37.3,8964,7,6,87.3,6.59,3.56,High
Office,42,20.2,43.5,11147,7.6,5.1,65.7,3.12,4.44,High
Office,27,4.9,49.3,6466,5.2,3,72.3,1.78,2.27,High
Office,25,3.8,51.3,6362,6.7,4.7,62.1,2.71,2.3,High
Hybrid,33,9.4,40.7,9120,4,8.7,76.6,2.47,3.09,High
Office,33,9.6,54.4,9199,5.1,6.3,71,1.96,3.69,High
Office,30,6.4,49.4,8065,5.4,4.6,63.9,1.46,3.83,High
Remote,44,14.7,43.1,11763,5.6,5.5,80.7,7.15,2.99,High
Office,25,2.8,42.4,6457,7,4.4,59.5,2.77,5.24,Medium
Remote,40,12,47.8,11067,4.1,2.4,62.8,7.16,1.98,High
Remote,54,31.6,44.7,16484,5.6,3.5,76.6,6.87,0.87,High
Remote,30,5.6,42.4,8718,5.4,6.1,49.3,3.27,3.72,High
Hybrid,27,4.1,45.8,7159,6.7,3.8,65.3,5.79,2.31,High
Office,30,7.6,45,7860,6.3,4.4,60.8,1.21,3.45,High
Remote,30,5.8,39.1,7856,7.3,5.8,72.5,5.58,2.91,High
Hybrid,26,3.5,48.9,8164,8.2,1.3,73.4,5.01,3.23,High
Office,31,6.8,47.9,7271,5.8,5.6,53.7,1.32,3.03,High
Hybrid,21,0,47.9,6663,7,5.1,73.2,3.99,3.38,High
Remote,42,14.6,34.6,11066,7.9,4.2,79.3,5.8,3.36,High
Hybrid,28,4.5,39.6,7933,6.6,5.1,61.5,1.84,4.22,High
Remote,38,10.9,47.6,10186,6.7,5.6,66.5,7.83,3.58,High
Office,41,12.6,45.1,9641,5.2,6.1,69.1,2.52,2.54,High
Remote,36,12.8,42.2,11241,6.7,3.5,58.5,7.09,2.56,High
Hybrid,30,6.6,46.6,8135,4.6,4.8,63.8,5.56,3.15,High
Hybrid,33,8.9,47.2,9153,6.9,6.5,78.5,4.65,3.16,High
Office,44,18.4,45.2,11405,6.1,4.9,63.9,2.21,4.51,Medium
Office,32,9.1,49.8,7595,6.1,2.6,57.2,4.42,2.57,High
Remote,32,8.6,34.5,9770,7.2,2.5,78.1,6.8,3.41,High
Remote,51,19.8,37.8,13882,6.6,0.4,90.6,7.74,1.46,High
Remote,35,9.9,47.3,10359,6.5,4.4,71.9,7.19,2.36,High
Office,32,8.4,38.5,8323,7.8,7.6,56.7,2.22,3.89,High
Remote,37,14.1,43.8,10205,6.7,3.2,87.5,5.97,2.41,High
Hybrid,48,18.7,41.5,12532,5.4,8.7,71.6,4.13,3.13,High
Office,35,10.2,52.5,9048,5.4,3.5,79,2.8,2.81,High
Office,27,4,50.2,7201,5.7,1.8,62.8,2.61,2.13,High
Remote,39,16.5,41.2,11215,7.7,7.8,69.1,6.49,3.72,High
Office,37,12.2,44.1,9134,6.2,6.2,62.2,2.83,2.88,High
Remote,49,26.1,38.7,14218,7.5,2.5,73.2,7.11,2.37,High
Remote,37,11.1,49.7,10685,4.9,4.2,72.9,6.63,1.42,High
Remote,30,7.6,37.7,8673,5.1,4.7,70.3,7.25,0.92,High
Remote,46,20.6,37,12845,7,4.3,87.6,4.88,3.83,High
Office,33,9,42.4,7941,7.4,5.8,72.6,1.55,4.73,Medium
Hybrid,25,3.7,39.3,6435,9,4.1,99.3,4.5,3.64,High
Hybrid,28,4.5,39,7682,8.8,4.9,73.1,5.07,4.15,High
Remote,21,0,39.3,7132,7.2,3.5,60.8,5.21,3.23,High
Remote,21,0,39.6,6398,8,5.1,64.8,7.18,3.63,High
Remote,36,10.2,45.5,10583,7,3.6,83.7,6.2,2.01,High
Office,35,9.7,49,8218,5.1,1.5,74.8,1.37,1.59,High
Hybrid,42,13,39.9,10518,7,0,67.6,3.93,1.92,High
Remote,30,5.8,32.8,8471,7.3,4.8,63.5,6.2,2.35,High
Office,32,9,51.1,8455,6.5,3.8,64.9,2.21,3.46,High
Office,31,8.5,51.4,7453,6.6,8.7,73.9,2.57,4.16,High
Remote,33,9.7,45.5,9752,4.3,3.8,68.8,4.73,2.14,High
Hybrid,39,17,43.6,10784,7.1,6,81.2,2.75,4.56,Medium
Remote,43,20.8,45.5,13073,5.7,4.4,75.8,8.18,2.83,High
Remote,42,17.7,43.3,12838,7,3,89.4,7.43,2.69,High
Remote,21,0,39.4,6611,6.5,5.5,76.7,7.98,2.32,High
Office,30,8.8,50.1,8746,6.6,2.3,77.4,3.26,3,High
Remote,39,11.3,38.6,10008,6,10,57.7,9.55,3.19,High
Hybrid,30,6.5,43.9,7709,5.4,4.7,84,3.11,2.67,High
Office,33,10.9,44.3,8726,7.2,3.5,78.5,2.66,2.43,High
Remote,25,2.8,48,6986,7.1,1.7,68.3,7.08,1.62,High
Hybrid,37,13.3,45.1,9631,7.7,4,84.1,4.96,3.77,High
Office,27,5,40.8,7241,7.2,0,74.9,2.8,1.63,High
Remote,26,4.1,45.6,7883,7,2.9,70.2,5.95,2.92,High
Hybrid,39,14.5,42.1,9394,5.6,5.1,90.2,4.45,2.26,High
Hybrid,21,0,43.3,6416,7.4,5.2,80.2,4.79,4.08,High
Office,40,12.4,42,8774,6.6,9.1,80.9,2.08,5.3,Medium
Hybrid,36,10.3,50.1,9498,7.1,3.4,73.4,4.45,2.34,High
Hybrid,44,16.6,48.1,11838,6.7,4,72.3,4.42,3.83,High
Remote,31,7.4,35.9,8952,6.7,6.8,75.4,4.65,3.38,High
Hybrid,21,0,39.8,5998,6.2,6.1,67.3,3.69,3.61,High
Office,29,5.5,36.9,8324,5.3,6.7,65.6,1.82,4.2,High
Hybrid,31,7.5,44.2,9062,8.7,4.8,68.5,6.25,3.1,High
Remote,28,5.6,39.9,8243,9,3,77.3,6.66,2.53,High
Office,29,5,48.5,7203,4.3,6.7,55.3,2.05,3.47,High
Remote,33,7.6,45.4,10306,7.5,5.5,67.6,6.69,3.22,High
Office,29,7,50.6,7494,5.7,3.9,66.2,2.86,3.21,High
Remote,21,0,52.7,6244,5.3,4.6,61.9,7.73,1.6,High
Hybrid,30,9,46.5,8522,4.3,6.5,65.9,4.91,3.14,High
Remote,36,11.8,48.8,11808,8,8.7,75.5,6.12,4.05,High
Office,32,7.3,58,6952,7.8,3.4,55.7,2.89,3.3,High
Remote,37,10,39.8,10550,4.5,0.1,77.8,5.61,0.6,High
Remote,40,12.9,49.9,10352,5.1,4,47.9,6.7,1.85,High
Office,35,9.7,47.6,9776,4.1,4.7,57.8,3.12,3.38,High
Remote,38,12.2,47.5,10881,5.5,0,78.1,6.01,1,High
Hybrid,24,2.5,46.4,7737,4.5,2.9,76.8,5.79,0.38,High
Remote,31,7.9,39.3,9807,6.2,4.4,75.7,5.95,2.27,High
Remote,28,6,32.7,8864,6.3,0.6,73.2,6.61,1.38,High
Hybrid,36,12.4,42.5,9994,5.6,6.2,86.3,4.13,4.28,High
Office,35,13.4,52.8,9885,5.2,2.8,62.5,3.68,2.54,High
Remote,34,10.8,41.1,9262,6.8,5.6,70.2,6.52,2.26,High
Office,25,3.7,49.3,5986,4.8,3,70.7,3.46,3.13,High
Remote,47,24.7,39,12909,4.4,4.9,72.7,9.35,1.34,High
Office,28,4.3,42.9,6896,7.2,0.6,77.5,2.85,2.91,High
Office,26,4.6,59.4,7288,5.2,6,70.1,3.52,2.15,High
Office,37,10.5,46.7,8654,6.1,4.9,64,3.61,4.31,High
Office,28,6.9,38.4,7918,7.5,4.6,79,4.05,2.7,High
Hybrid,26,3.4,48.5,7894,5,3.8,63.6,3.45,2,High
Office,38,11.3,42.8,9541,7.2,3.9,78.2,4.2,3.05,High
Remote,28,6.6,34.5,9181,5.1,5,62.4,5.63,2.86,High
Remote,41,13.3,41.9,11998,7.1,4.8,69.8,4.08,2.66,High
Remote,31,8.2,44.6,9646,5.5,4.2,69.8,6.57,1.47,High
Remote,37,11.9,44.6,10913,6.2,6.2,57.1,5.1,3.47,High
Remote,21,0,39.5,6508,7.5,4.6,72,7.39,2.55,High
Hybrid,30,7.1,47.5,8345,7.4,2.9,74.3,3.24,4.43,High
Hybrid,31,6.5,49.7,8890,7.8,5.4,69.6,6.14,2.58,High
Hybrid,36,13.5,42.6,9819,7.1,2.2,80.4,5.61,2.66,High
Remote,24,2.3,41.5,7532,7.7,2.9,75,6.02,2.92,High
Remote,28,5.7,47,9451,7.1,6.8,68.8,6.43,3.77,High
Hybrid,43,18.5,46.3,10780,6,3.6,71.6,5.37,2.18,High
Office,24,2.8,39.5,7387,4.8,7.7,65.6,2.53,3.97,High
Remote,37,11.1,40.6,9761,4.9,6.9,76.6,6.14,1.84,High
Remote,32,8.1,42.8,10148,6,5.3,70.3,8.04,1.71,High
Remote,33,11.6,44.7,10699,6.4,3.1,58.4,6.63,1.04,High
Hybrid,53,30,49.8,15220,7.8,5.1,90.1,3.47,3.78,High
Hybrid,32,8.1,45.3,8898,7.2,6.2,71.4,4.01,2.8,High
Office,35,13.7,53,9284,5.5,2.7,59.4,1.92,2.28,High
Hybrid,24,2.3,49.3,6165,8.4,6.1,77.3,3.05,5.69,Medium
Hybrid,39,17.8,47.5,11132,8.4,8.4,73.7,3.62,4.55,Medium
Office,35,13.4,60,9755,5.8,5.4,92.6,1.83,3.24,High
Remote,21,0,48.4,6898,6.8,9.6,56.7,7.07,3.39,High
Office,38,12.9,41.5,9347,4.5,5.1,57.5,3.13,2.43,High
Remote,30,8.2,49,9168,5.1,7.9,73.3,9.88,2.26,High
Office,31,9.4,60,7581,5.8,3.7,56.2,2.51,2.47,High
Remote,21,0,36.2,6951,6.9,3.6,81.2,7.4,2.12,High
Remote,36,13.9,47.3,10285,8.4,4.7,77,8.08,3.13,High
Hybrid,34,10.9,46.5,9377,6.7,5.9,69.3,4.39,3.63,High
Office,27,5.7,46,7280,5.9,2.1,57,2.41,1.02,High
Hybrid,41,18.6,52,10953,6,8.5,71.4,5.24,3.69,High
Hybrid,25,3,54.9,6782,6.3,6.7,55.4,2.95,3.08,High
Hybrid,28,5.6,42.1,8606,6.1,4.9,72.7,2.34,3.31,High
Office,28,6.8,30,7745,5.2,4.9,87.9,2.25,4.2,High
Hybrid,31,6.1,46.1,8001,6.8,6.8,76.7,4.45,3.34,High
Office,36,11.8,51.4,9375,8.2,5.7,87.7,3.91,4.22,High
Office,35,12.8,46.1,9465,7.6,6.2,79,2.66,5.57,Medium
Remote,31,7.4,42.1,9241,6.8,1.1,51.4,5.63,0.96,High
Remote,35,8.6,52.7,9669,5.6,5.6,51.4,8.01,3.5,High
Remote,23,2,33.2,7736,6.6,4.5,60.1,6.29,2.51,High
Office,21,0,42.1,6052,7.2,3,71,2.05,3.53,High
Remote,28,4.9,44.9,9215,6.9,3.4,68.6,6.14,1.98,High
Remote,39,11.3,33.8,10219,5.2,6.2,73.2,7.24,3.37,High
Remote,32,9.8,42.8,10055,5.8,4.5,86.5,7.41,2.63,High
Remote,28,6.5,41.9,8550,5.4,5.3,80.2,8.13,3.41,High
Remote,33,12,44.4,10468,5.7,6.7,65.3,6.76,3.14,High
Remote,35,11.6,48.9,10060,5.8,5.7,75.2,7.96,1.67,High
Remote,26,3.9,43.7,8217,4.3,2,74.3,6.63,1.58,High
Remote,25,3,36.9,8781,7.3,3.8,77.5,6.17,2,High
Remote,32,8.4,37,9973,6.5,5.9,88.4,8.42,1.93,High
Hybrid,30,6.4,36.3,8791,7.7,8.9,77.1,4.49,4.77,Medium
Office,36,11.7,50.8,9900,7.2,4,78.5,1.93,4.6,Medium
Office,30,6.2,50.9,8012,5.9,0,71.8,2.06,2.18,High
Office,39,13.5,35.3,10292,7.9,6.3,88.4,2.91,4.79,Medium
Remote,35,8.5,45.7,9227,6.1,4,77.3,7.26,1.75,High
Remote,38,11.3,37.5,11463,8.1,2.7,79.8,5.91,2.97,High
Remote,43,14.6,40,11227,6.4,6.5,74,8.59,2.43,High
Remote,30,6.4,36.3,9800,6.3,2.8,76.4,6.89,2.07,High
Office,25,4,41,7173,7.6,4.1,76.3,2.94,3.56,High
Remote,35,10.1,36.7,10711,5.3,3.4,68.2,6.93,2.37,High
Remote,34,11,35.4,10975,6.2,7.6,66.2,5.04,3.91,High
Hybrid,28,5.7,39.5,7933,6.8,4.9,66.9,3.2,2.95,High
Remote,31,7.3,43,9074,6.5,0.2,72.6,8.54,0.73,High
Office,34,12.9,50.3,10036,7,8.9,72.9,2.08,5.3,Medium
Remote,35,11.1,46.6,9666,6.6,3.5,90.1,5.13,3.09,High
Remote,26,4,51.3,7813,5.5,3.8,58.6,5.43,1.59,High
Hybrid,38,12.1,41.5,10270,6.1,6.1,54.8,2.93,3.67,High
Remote,41,19.8,45.4,12728,6.1,6.1,70.7,10,1.36,High
Office,46,20.5,51,11727,6.4,8,67.8,2.11,6.25,Medium
Hybrid,29,5.8,38.7,8107,5.3,1.1,67.9,3.51,2.11,High
Office,26,4.7,36.3,7434,6.4,3.3,72.5,2.18,2.53,High
Remote,32,10.7,48,9905,4.7,8,63.3,8.74,3.73,High
Hybrid,39,14.2,36.1,10823,6.8,5.8,75.2,4.83,4.45,High
Remote,42,14.3,43.7,12345,7.8,3.5,74.5,7,1.97,High
Remote,21,0,38.9,6936,5.7,5.8,68.1,6.98,3.3,High
Remote,44,17.1,33.9,12448,6.3,4.2,83,4.33,3.82,High
Remote,45,16.8,39.8,12159,4.9,8,64.3,9.1,2.27,High
Remote,31,6.1,38.3,9580,7,3.5,66.4,7.04,1.09,High
Hybrid,40,15.1,52.4,10714,6.8,6.2,75,5.19,3.68,High
Office,21,0,46.4,5109,8,5.8,68.1,2.23,4.4,High
Remote,43,17.2,38,12209,7.4,6.9,78.2,5.79,3.11,High
Remote,38,15.1,47.2,10966,5.2,6.9,48.4,6.24,2.45,High
Remote,32,7.8,52.6,10101,5,2.9,61.9,7.43,0.81,High
Remote,37,15,31.9,10846,5.7,6,51.8,6.05,2.7,High
Remote,43,19.1,40.8,12385,5.9,0,55.2,8.08,1.34,High
Remote,23,1.2,34.3,6904,4.8,6.2,83.9,8.04,3.02,High
Remote,27,3.9,42.5,6794,6.4,5.4,78.1,5.93,3.17,High
Hybrid,44,14,41.3,11433,6.2,6.2,68.7,3.48,3.75,High
Hybrid,34,8.6,51.1,8768,6.4,4.1,86,2.92,3.64,High
Office,33,11.9,53.7,9113,5.2,2.1,61.7,3.35,1.72,High
Hybrid,28,5.8,44.6,7758,6.1,5.2,57.2,3.56,3.7,High
Remote,38,14.6,41.6,11166,7.3,1.2,68.6,8.58,1.03,High
Office,24,2,43.5,6625,5.8,2.6,70.4,3.85,2.05,High
Hybrid,45,17.1,50.3,11181,6.9,1.1,59.4,4.78,3.36,High
Remote,23,1.6,34.3,7431,7.4,4.1,62.5,7.09,2.5,High
Office,23,1.4,40.9,6768,7.3,5.8,66.1,3.58,4.25,High
Remote,37,13.7,42.7,10518,7.1,7,74.5,8.41,4.28,High
Remote,27,5.4,37.8,8526,5.6,4.4,53.8,8.02,2.4,High
Remote,38,15.9,39.4,12007,9,2.8,90.8,8,2.89,High
Hybrid,22,0.8,43.3,6535,6.6,5.8,64.1,2.88,4.37,High
Remote,28,6.8,44.1,9058,7.3,3.3,67.8,7.23,3.99,High
Hybrid,33,9.4,44.7,8676,7.2,4.3,74.7,5.15,3.65,High
Office,39,17.6,42.4,10542,6.9,5,75.1,4.16,3.01,High
Remote,33,11.7,44.3,9195,6.9,7.3,64.5,7.42,2.43,High
Remote,32,6.9,50.1,8491,4.3,3.1,44.5,4.63,1.11,High
Remote,32,9.1,45.9,8696,5.9,1.6,49.1,4.12,3.45,High
Office,42,20,42,11528,6.2,8.7,65.1,3.2,4.71,Medium
Remote,32,6.9,44.8,8607,5.8,8.8,59.8,7.62,4.6,Medium
Office,41,14.1,43.4,10096,8.6,3.2,95.1,2.69,4.19,High
Hybrid,30,7.1,52.1,9149,6.9,5.1,61.9,4.69,3.25,High
Remote,45,15.4,42.5,11265,6.5,4.2,82.9,7.96,1.55,High
Hybrid,35,12.1,43.4,9954,6.1,2,77.8,5.46,0.82,High
Office,41,12.7,53.9,9592,5.3,6.1,59.2,3.46,2.6,High
Hybrid,27,3.9,45.2,6965,6,7.8,74.1,4.04,3.52,High
Remote,36,12.1,38.8,11250,6.2,2.2,76.3,4.29,2.01,High
Remote,22,0.9,30.8,6087,6,6.8,82.5,4.86,3.71,High
Remote,41,14,38.1,11299,7.3,3.9,66.9,6.24,3.01,High
Remote,24,2.9,44.4,6959,5.5,6.3,75.3,8.7,1.48,High
Remote,36,10.9,41.4,10738,6.5,9.2,76.3,5.71,4.11,High
Remote,31,9,43.4,9432,6.5,3.9,64.6,6.99,2.08,High
Remote,42,19.6,42.8,12051,4.4,4.6,73.8,8.5,2.29,High
Remote,37,13.3,46.3,11168,5.2,6.3,60.8,6,2.16,High
Office,41,14.3,46.7,10525,6.8,5.1,61.7,2.12,3.5,High
Office,34,12.2,33.9,8043,6.8,6.9,70.3,2.36,6.4,Medium
Office,25,2.4,30.9,6134,7.7,3.2,98.4,2.44,4.06,High
Office,34,8.3,38,8374,5.5,6.2,55.5,1.56,3.05,High
Remote,34,10.6,42.1,10710,7.9,2.7,79.4,6.08,3.24,High
Office,43,20.9,48.7,12812,6.1,6.8,53.4,3.7,2.62,High
Office,27,5.9,41.1,7587,5.4,5.3,84.1,2.83,2.95,High
Office,36,9.1,48.7,9328,6.6,5.4,73.1,2.47,2.86,High
Office,23,1.8,48.5,6232,5.5,5.3,62.9,3.57,2.29,High
